End: N=5, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.002720
Start: N=4, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.002734
Start: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.002749
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002764
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002779
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002787
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002796
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002803
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002812
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002826
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002834
End: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.002842
Start: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.002855
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.002870
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.002878
Start: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.002887
End: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.002896
End: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.002905
End: N=4, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.002920
End: N=6, Current_CPU=0, Previous_CPU=0000, Pre_N=7, Cur_Time=0.002934
Start: N=5, Current_CPU=0, Previous_CPU=0000, Pre_N=7, Cur_Time=0.002947
Start: N=4, Current_CPU=0, Previous_CPU=00000, Pre_N=5, Cur_Time=0.002962
Start: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.002977
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002993
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003008
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003016
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003024
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003032
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003068
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003081
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003089
End: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003097
Start: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003110
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003123
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003131
Start: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003139
End: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003146
