End: N=6, Current_CPU=1, Previous_CPU=0011, Pre_N=7, Cur_Time=0.003894
Start: N=5, Current_CPU=1, Previous_CPU=0011, Pre_N=7, Cur_Time=0.003989
Start: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.003997
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.004004
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.004011
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004047
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004056
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004064
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004070
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.004075
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.004083
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.004087
End: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.004092
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.004099
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.004107
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.004111
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.004115
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.004119
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.004124
End: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.004132
Start: N=3, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.004139
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.004147
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.004154
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.004159
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.004267
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.004272
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.004277
Start: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.004284
End: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.004289
End: N=3, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.004293
End: N=5, Current_CPU=1, Previous_CPU=0011, Pre_N=7, Cur_Time=0.004301
End: N=7, Current_CPU=1, Previous_CPU=001, Pre_N=8, Cur_Time=0.004309
Start: N=6, Current_CPU=1, Previous_CPU=001, Pre_N=8, Cur_Time=0.004365
Start: N=5, Current_CPU=1, Previous_CPU=0011, Pre_N=6, Cur_Time=0.004372
Start: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.004379
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.004387
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.004423
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004439
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004447
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004456
